name,lon,lat,correlation,rmse
bjorn_028_sweden_smhi,17.967,60.633,0.540037201,0.12982388
bluff_072a_new_zealand_uhslc,168.35,-46.6,0.83947299,0.073205273
bonanza_bonanza_spain_pde,-6.34,36.8,0.765108874,0.059997424
booby_island_336a_australia_uhslc,141.92,-10.6,0.566919078,0.091988013
"boston,ma_741a_usa_uhslc",-71.052,42.355,0.746050816,0.090380074
boulogne_sur_mer_france_refmar,1.5777,50.727,0.708442799,0.15072004
bournemouth_p988_uk_bodc,-1.8749,50.714,0.741239959,0.0875014
brest_france_refmar,-4.5,48.383,0.764598773,0.090799731
bridgeport_usa_noaa,-73.182,41.173,0.751859692,0.113378748
bridgetown_d_249d_barbados_uhslc,-59.617,13.1,0.301642294,0.04795401
brisbane_002_australia_johnhunter,153.03,-27.468,0.522785324,0.066578294
brisbane_331a_australia_uhslc,153.17,-27.367,0.517221951,0.06589008
broome_004_australia_johnhunter,122.24,-17.955,0.290251241,0.113372339
buenaventura_085a_colombia_uhslc,-77.1,3.9,0.169012593,0.099100834
buenos_aires_285a_argentina_uhslc,-58.5,-34.667,0.662308097,0.3572759
bunbury_006_australia_johnhunter,115.64,-33.327,0.794523203,0.08371412
bundaberg_003_australia_johnhunter,152.35,-24.833,0.412317333,0.077171877
bundaberg_332a_australia_uhslc,152.38,-24.767,0.428189131,0.069260315
burnie_005_australia_johnhunter,145.91,-41.053,0.632766368,0.116812608
burnie_344a_australia_uhslc,145.91,-41.5,0.791331032,0.064852812
cabo_san_lucas_034a_mexico_uhslc,-109.91,22.88,0.335266435,0.042025528
cadiz_cadi_spain_ieo,-6.2833,36.533,0.681782442,0.063853442
cagliari_cagliari_italy_idromare,9.1143,39.21,0.714174314,0.053602122
cairns_007_australia_johnhunter,145.78,-16.925,0.6203383,0.056923725
calais_france_refmar,1.8677,50.969,0.704572643,0.150629083
"caldera,chile_001_glossdm_bodc",-70.833,-27.067,0.316468489,0.042773277
callao_b_093b_peru_uhslc,-77.15,-12.05,0.205721493,0.05046641
cambridgeii_usa_noaa,-76.068,38.573,0.748203262,0.096954847
"campbellriver,bc_08074_canada_meds",-125.25,50.042,0.654398068,0.102940714
cananeia_281a_brazil_uhslc,-47.925,-25.017,0.755505544,0.124781887
"canavieiras,uscgs_707a_brazil_uhslc",-38.967,-15.667,0.329738392,0.063159352
"capehatteras,u.s.a._001_glossdm_bodc",-75.635,35.223,0.612599726,0.111607108
capemay_usa_noaa,-74.96,38.968,0.768142461,0.102511421
cape_ferguson_343a_australia_uhslc,147.06,-19.277,0.698569519,0.062396852
"cape_may,nj_746a_usa_uhslc",-74.96,38.968,0.770513721,0.101312518
cape_town_704a_south_africa_uhslc,18.433,-33.9,0.763642823,0.061459079
carloforte_carloforte_italy_idromare,8.3095,39.148,0.749153105,0.049839216
carnarvon_008_australia_johnhunter,113.66,-24.884,0.699226519,0.071032814
cartagena_b_265b_colombia_uhslc,-75.533,10.383,0.30717014,0.041486855
cascais_209a_portugal_uhslc,-9.4167,38.692,0.711890293,0.056068958
casey_130a_australia_uhslc,110.53,-66.283,0.710534632,0.074277749
castletownsend_835a_ireland_uhslc,-9.1833,51.533,0.75377033,0.084392346
catalina_b_313b_usa_uhslc,-118.48,33.45,0.384752481,0.063373508
catania_catania_italy_idromare,15.094,37.498,0.014588172,0.071834402
cayenne_227a_france_uhslc,-52.283,4.85,0.529461844,0.040946318
cebu_379a_philippines_uhslc,123.92,10.3,0.314473519,0.039557243
cedarkeyii_usa_noaa,-83.032,29.135,0.762421038,0.103156689
cedros_island_305a_mexico_uhslc,-115.18,28.1,0.333857476,0.04950078
celestun_861a_mexico_uhslc,-90.403,20.858,0.492650058,0.104491741
cendering_320a_malaysia_uhslc,103.18,5.2667,0.623767448,0.069922424
centuri_france_med_refmar,9.3498,42.966,0.724594832,0.064785134
ceuta_ceta_spain_ieo,-5.3167,35.9,0.729890458,0.048224586
chabahar_915a_iran_uhslc,60.603,25.297,0.36199663,0.051632518
champerico_670a_guatemala_uhslc,-91.917,14.3,-0.183145307,0.076044673
charchanga_138a_bangladesh_uhslc,91.05,22.217,0.480044597,0.171097413
"charleston,or_575a_usa_uhslc",-124.32,43.345,0.790839939,0.071397016
"charleston,sc_261a_usa_uhslc",-79.925,32.782,0.709581371,0.09416221
"charlottetown,pei_01700_canada_meds",-63.117,46.233,0.610219131,0.12836041
charlotte_amalie_255a_usa_uhslc,-64.92,18.335,0.306655262,0.035064773
chatham_079a_new_zealand_uhslc,-176.56,-43.947,0.824713174,0.05832811
cherbourg_france_refmar,-1.6355,49.651,0.752822651,0.093595385
chesapeake_bbt_749a_usa_uhslc,-76.113,36.967,0.776844118,0.100657375
chichijima_japan_jma,142.18,27.1,0.47742969,0.060056438
chittagong_124a_bangladesh_uhslc,91.825,22.247,0.498815915,0.118242487
choshigyoko_japan_jma,140.87,35.75,0.761805119,0.054844997
"christiansted,vi_258a_usa_uhslc",-64.705,17.75,0.25617322,0.037064063
christmas_170a_australia_uhslc,105.67,-10.417,-0.361723272,0.081057236
"christmas_b,lineis.kiribati_001_glossdm_bodc",-157.48,1.985,0.151890836,0.042789548
churchill_274a_canada_uhslc,-94.183,58.767,0.663078151,0.130708396
chuuk_054a_fd._st._micronesia_uhslc,151.85,7.45,0.22728022,0.041193003
cilicap_b_162b_indonesia_uhslc,109.02,-7.7517,0.328807426,0.099090159
ciudad_del_carmen_779a_mexico_uhslc,-91.833,18.533,0.52830143,0.079521885
civitavecchia_civitavecchia_italy_idromare,11.79,42.094,0.741850784,0.0541367
"clearwater_bch,fl_773a_usa_uhslc",-82.832,27.977,0.730883403,0.078309115
"cocoa_beach,_fl_754a_usa_uhslc",-80.6,28.368,0.691023059,0.075695844
cocos_171a_australia_uhslc,96.883,-12.117,0.183800656,0.05985649
colombo_c_115c_sri_lanka_uhslc,79.85,6.9333,0.363567635,0.047951789
concarneau_france_refmar,-3.9072,47.874,0.76025479,0.092102311
cordemais_france_refmar,-1.8898,47.277,0.648187732,0.166534285
"cordova_b,alaska_583b_usa_uhslc",-145.75,60.558,0.780787245,0.096364217
